event.id,investigation.type,accident.number,event.date,location,country,injury.severity,aircraft.damage,aircraft.category,registration.number,make,model,amateur.built,far.description,total.fatal.injuries,total.serious.injuries,total.minor.injuries,total.uninjured,publication.date,total_passengers,fatal_serious_fraction,is_destroyed,make_model
20190703X85557,Accident,WPR19LA184,2019-06-30,"Lincoln, MT",United States,Non-Fatal,Substantial,Airplane,N5JB,cessna,tr182,No,091,0.0,1.0,0.0,1.0,26-09-2020,2.0,0.5,0,cessna_tr182
20190718X10740,Incident,DCA19WA180,2019-06-30,"Mangalore, India",India,,Minor,Airplane,VT-AYA,boeing,737,No,NUSC,0.0,0.0,0.0,0.0,26-09-2020,0.0,0.0,0,boeing_737
20190701X01033,Accident,GAA19CA381,2019-07-01,"Coeur d'Alene, ID",United States,Non-Fatal,Substantial,Airplane,N9235B,cessna,175,No,091,0.0,0.0,0.0,3.0,26-09-2020,3.0,0.0,0,cessna_175
20190702X45944,Accident,CEN19WA197,2019-07-01,"Rougemont, Canada",Canada,,Destroyed,Airplane,C-IIJJ,rans,s6,No,NUSN,0.0,0.0,0.0,0.0,26-09-2020,0.0,0.0,1,rans_s6
20190702X80000,Accident,CEN19LA194,2019-07-01,"Fort Smith, AR",United States,Non-Fatal,Substantial,Airplane,N3598R,beech,a23,No,091,0.0,0.0,0.0,2.0,28-01-2021,2.0,0.0,0,beech_a23
20190702X80900,Accident,CEN19FA195,2019-07-01,"Orleans, IN",United States,Fatal,Substantial,Airplane,N1094K,rans,s12,No,091,1.0,0.0,0.0,0.0,03-12-2020,1.0,1.0,0,rans_s12
20190703X52225,Accident,GAA19CA384,2019-07-02,"Cheyenne, WY",United States,Non-Fatal,Substantial,Airplane,N387G,american.aviation,aa5,No,091,0.0,0.0,0.0,2.0,13-12-2021,2.0,0.0,0,american.aviation_aa5
20190708X14610,Accident,GAA19CA393,2019-07-02,"Stanley, ID",United States,Non-Fatal,Substantial,Airplane,N612TW,cessna,a185,No,091,0.0,0.0,0.0,2.0,26-09-2020,2.0,0.0,0,cessna_a185
20190708X20541,Accident,GAA19CA390,2019-07-02,"Tracy, CA",United States,Non-Fatal,Substantial,Airplane,N6306P,cessna,152,No,091,0.0,0.0,0.0,1.0,26-09-2020,1.0,0.0,0,cessna_152
20190709X05610,Accident,ERA19TA222,2019-07-02,"Sevierville, TN",United States,Non-Fatal,Substantial,Airplane,N2352K,luscombe,8,No,091,0.0,0.0,0.0,2.0,28-01-2021,2.0,0.0,0,luscombe_8
20190715X70511,Incident,DCA19WA176,2019-07-02,"Mumbai, India",India,,Minor,Airplane,VT-SYK,boeing,737,No,NUSC,0.0,0.0,0.0,0.0,26-09-2020,0.0,0.0,0,boeing_737
20190703X95103,Accident,GAA19CA407,2019-07-03,"Montville, ME",United States,Non-Fatal,Substantial,Airplane,N1516E,cessna,172,No,091,0.0,0.0,0.0,1.0,26-09-2020,1.0,0.0,0,cessna_172
20190709X25759,Accident,WPR19LA185,2019-07-03,"Waikoloa Village, HI",United States,Non-Fatal,Substantial,Airplane,N150SC,cessna,tu206,No,091,0.0,0.0,0.0,2.0,26-09-2020,2.0,0.0,0,cessna_tu206
20190718X11612,Incident,DCA19WA181,2019-07-03,"London, United Kingdom",United Kingdom,,Unknown,Airplane,GY-MMU,boeing,777,No,NUSC,0.0,0.0,0.0,0.0,26-09-2020,0.0,0.0,0,boeing_777
20190806X82223,Incident,DCA19WA190,2019-07-03,"London, United Kingdom",United Kingdom,Non-Fatal,Unknown,Airplane,G-YMMU,boeing,777,No,NUSC,0.0,0.0,0.0,272.0,26-09-2020,272.0,0.0,0,boeing_777
20190704X25720,Accident,GAA19CA431,2019-07-04,"Tavernier, FL",United States,Non-Fatal,Substantial,Airplane,N420NG,diamond,da40,No,091,0.0,0.0,0.0,2.0,26-09-2020,2.0,0.0,0,diamond_da40
20190704X63124,Accident,CEN19LA206,2019-07-04,"Reeves, LA",United States,Non-Fatal,Substantial,Airplane,N3725V,cessna,140,No,091,0.0,1.0,0.0,0.0,28-01-2021,1.0,1.0,0,cessna_140
20190704X63244,Accident,CEN19TA205,2019-07-04,"Vaiden, MS",United States,Non-Fatal,Substantial,Airplane,N7618R,beech,23,No,091,0.0,2.0,2.0,0.0,28-01-2021,4.0,0.5,0,beech_23
20190705X85747,Accident,CEN19WA208,2019-07-05,"Quetzaltenango, Guatemala",Guatemala,Fatal,Destroyed,Airplane,TG-DAN,piper,pa-24-250,No,UNK,1.0,0.0,0.0,0.0,26-09-2020,1.0,1.0,1,piper_pa-24-250
20190706X03014,Accident,CEN19FA210,2019-07-05,"Chebanse, IL",United States,Fatal,Substantial,Airplane,N1809S,beech,a36,No,091,1.0,1.0,1.0,0.0,19-11-2020,3.0,0.6666666666666666,0,beech_a36
20190708X22643,Accident,GAA19CA388,2019-07-05,"Talkeetna, AK",United States,Non-Fatal,Substantial,Airplane,N5830C,piper,pa18,No,091,0.0,0.0,0.0,1.0,26-09-2020,1.0,0.0,0,piper_pa18
20191105X91242,Accident,GAA19WA592,2019-07-05,"Mexico, Mexico",Mexico,Non-Fatal,Unknown,Airplane,XB-HYS,beech,b36,No,NUSN,0.0,0.0,0.0,1.0,26-09-2020,1.0,0.0,0,beech_b36
20190706X70756,Accident,CEN19FA212,2019-07-06,"Oxford, MS",United States,Fatal,Destroyed,Airplane,N994CP,cessna,172,No,091,1.0,0.0,0.0,0.0,03-12-2020,1.0,1.0,1,cessna_172
20190706X74138,Accident,GAA19CA389,2019-07-06,"Paris, TX",United States,Non-Fatal,Substantial,Airplane,N757YK,cessna,152,No,091,0.0,0.0,0.0,1.0,26-09-2020,1.0,0.0,0,cessna_152
20190707X11324,Accident,CEN19LA214,2019-07-06,"Bay City, MI",United States,Non-Fatal,Substantial,Airplane,N796AB,piper,pa18,No,091,0.0,0.0,1.0,0.0,02-02-2021,1.0,0.0,0,piper_pa18
20190707X01535,Accident,ERA19TA223,2019-07-07,"Okeechobee, FL",United States,Non-Fatal,Substantial,Airplane,N52031,cessna,180,No,091,0.0,0.0,0.0,2.0,28-01-2021,2.0,0.0,0,cessna_180
20190708X21221,Accident,GAA19CA387,2019-07-07,"Seldovia, AK",United States,Non-Fatal,Substantial,Airplane,N3556W,piper,pa32,No,091,0.0,0.0,0.0,5.0,26-09-2020,5.0,0.0,0,piper_pa32
20200227X61441,Incident,CEN19WA338,2019-07-07,"Waterford, Ireland",Ireland,,Unknown,Airplane,EI-JSK,gulfstream,gulfstream.gvi,No,NUSC,0.0,0.0,0.0,0.0,26-09-2020,0.0,0.0,0,gulfstream_gulfstream.gvi
20190708X12801,Accident,ANC19LA031,2019-07-08,"Bethel, AK",United States,Non-Fatal,Destroyed,Airplane,N9448B,cessna,208,No,135,0.0,6.0,0.0,0.0,04-11-2021,6.0,1.0,1,cessna_208
20190709X25154,Accident,ANC19LA032,2019-07-08,"Newport, OR",United States,Non-Fatal,Substantial,Airplane,N9919V,cessna,172,No,091,0.0,2.0,1.0,0.0,03-12-2020,3.0,0.6666666666666666,0,cessna_172
20190709X23744,Accident,CEN19LA215,2019-07-09,"Sidney, NE",United States,Non-Fatal,Substantial,Airplane,N62069,beech,65,No,091,0.0,0.0,0.0,1.0,02-02-2021,1.0,0.0,0,beech_65
20190719X51348,Accident,GAA19CA438,2019-07-09,"Columbia Station, OH",United States,Non-Fatal,Substantial,Airplane,N9161S,beech,19,No,091,0.0,0.0,0.0,2.0,26-09-2020,2.0,0.0,0,beech_19
20190723X70630,Accident,WPR19LA207,2019-07-09,"Klamath Falls, OR",United States,Non-Fatal,Substantial,Airplane,N6642M,stinson,108,No,091,0.0,0.0,0.0,2.0,26-09-2020,2.0,0.0,0,stinson_108
